Date,Open,High,Low,Close,Adj Close,Volume
2000-01-20,19.214128,19.292793,18.270138,18.663467,12.025226,6102078
2000-01-21,18.722467,19.194462,18.270138,19.076464,12.291331,7201984
2000-01-24,19.666456,20.059786,18.722467,18.879799,12.164616,8651152
2000-01-25,18.683134,18.761801,17.621145,17.896477,11.531044,8228160
2000-01-26,17.896477,18.250471,17.424480,17.935808,11.556388,7009397
2000-01-27,17.935808,18.053806,16.991819,17.365480,11.188910,6155468
2000-01-28,17.286816,17.345816,16.205160,16.441158,10.593355,11385821
2000-01-31,16.559156,16.913153,16.460823,16.657490,10.732740,6506637
2000-02-01,16.834488,16.991819,16.539490,16.893486,10.884805,8373394
2000-02-02,16.952486,17.149151,16.736155,16.913153,10.897472,4869014
2000-02-03,17.070484,17.109818,16.205160,16.657490,10.732740,7058338
2000-02-04,16.677155,16.834488,15.733166,16.165829,10.415956,10730199
2000-02-07,16.106829,16.362492,15.831498,16.106829,10.377941,11746524
2000-02-08,16.047829,16.244493,15.713499,16.047829,10.339925,7658344
2000-02-09,16.323158,16.539490,15.890497,15.929830,10.263892,8769055
2000-02-10,15.969163,16.264160,15.654500,15.772498,10.162524,5535440
2000-02-11,15.772498,16.067495,14.966174,15.221838,9.807720,6336932
2000-02-14,15.359503,16.205160,15.359503,15.831498,10.200541,7424444
2000-02-15,15.929830,16.637823,15.615167,16.500156,10.631368,10315788
2000-02-16,16.578823,16.952486,16.362492,16.401825,10.608473,6143392
2000-02-17,16.991819,17.188482,16.362492,17.031153,11.015512,6334072
2000-02-18,17.070484,17.149151,16.323158,16.480492,10.659350,4666893
2000-02-22,16.873819,17.129484,16.146160,16.834488,10.888315,4588714
2000-02-23,16.834488,17.109818,16.598490,16.598490,10.735672,5782371
2000-02-24,16.637823,16.716488,15.792165,16.008495,10.354074,7706650
2000-02-25,15.890497,16.087162,15.693833,15.752832,10.188712,6911514
2000-02-28,15.969163,16.283827,15.733166,16.067495,10.392231,11246306
2000-02-29,16.362492,16.362492,15.890497,16.028162,10.366794,5150902
2000-03-01,16.028162,16.087162,15.339836,15.988829,10.341354,5820189
2000-03-02,15.969163,16.165829,15.615167,15.988829,10.341354,5262132
2000-03-03,15.910164,16.657490,15.733166,16.303493,10.544875,5078444
2000-03-06,16.460823,16.578823,15.497168,15.733166,10.175992,5253552
2000-03-07,15.772498,16.224827,15.339836,15.890497,10.277752,5278022
2000-03-08,15.890497,15.890497,15.418502,15.497168,10.023353,5309485
2000-03-09,15.261171,15.418502,14.631844,15.123505,9.781672,7058656
2000-03-10,15.044840,15.575834,14.769509,15.379169,9.947034,6406212
2000-03-13,15.261171,15.556167,15.162838,15.418502,9.972474,4731724
2000-03-14,15.595500,15.929830,15.595500,15.713499,10.163271,7657391
2000-03-15,15.752832,17.463814,15.536501,16.952486,10.964635,9841630
2000-03-16,17.267149,18.230806,17.070484,17.935808,11.600630,10592910
2000-03-17,17.621145,18.368471,17.050817,17.188482,11.117270,8560579
2000-03-20,17.188482,18.191473,16.972153,17.660479,11.422551,5574530
2000-03-21,17.542480,18.191473,17.385147,17.857143,11.549755,5469338
2000-03-22,18.093140,18.329138,17.424480,17.562145,11.358953,8359729
2000-03-23,17.581812,18.368471,17.306482,18.368471,11.880473,5560864
2000-03-24,18.093140,18.565134,17.778477,17.955475,11.613353,5240840
2000-03-27,18.525803,18.525803,17.935808,18.073475,11.689673,4734584
2000-03-28,17.935808,18.329138,17.935808,18.191473,11.765993,3827583
2000-03-29,18.053806,18.329138,17.719479,18.132473,11.727834,3656607
2000-03-30,18.093140,19.509125,18.093140,19.312462,12.491035,6609287
2000-03-31,18.879799,20.295784,18.801132,19.882788,12.859918,8862489
2000-04-03,19.882788,20.099119,18.801132,19.469791,12.592788,6804734
2000-04-04,19.823790,20.099119,18.742132,19.882788,12.859918,4932256
2000-04-05,19.587791,19.745123,19.037130,19.194462,12.414710,4320809
2000-04-06,19.214128,19.705790,19.115795,19.351793,12.516475,3677264
2000-04-07,19.351793,19.469791,18.879799,19.174795,12.401993,3918792
2000-04-10,19.174795,20.138453,19.115795,20.138453,13.025275,5824003
2000-04-11,19.784456,20.689114,19.725456,20.217117,13.076146,7272853
2000-04-12,20.177786,20.531780,20.177786,20.217117,13.076146,7556013
2000-04-13,20.177786,20.354782,19.135464,19.155128,12.389267,7534085
2000-04-14,17.975142,18.565134,17.640812,17.699812,11.447997,8042882
2000-04-17,18.250471,18.781466,18.132473,18.742132,12.122148,4419009
2000-04-18,18.486469,18.997797,17.876808,18.270138,11.816877,4291571
2000-04-19,18.604467,19.646790,18.486469,19.233795,12.440145,4810539
2000-04-20,18.879799,20.335115,18.840466,20.158117,13.037990,7115542
2000-04-24,20.453115,20.807112,20.138453,20.413782,13.203350,8239918
2000-04-25,20.453115,20.669447,19.922121,20.315451,13.139754,5261179
2000-04-26,20.197451,20.295784,19.076464,19.076464,12.338388,5925699
2000-04-27,19.037130,19.764790,18.879799,19.509125,12.618231,3638492
2000-04-28,19.509125,19.784456,19.115795,19.568125,12.656395,2216973
2000-05-01,19.332127,20.020452,19.194462,19.509125,12.618231,3667094
2000-05-02,19.646790,20.099119,19.371460,19.745123,12.770871,4782890
2000-05-03,19.273129,19.568125,19.056797,19.292793,12.478312,2444518
2000-05-04,19.332127,19.587791,18.879799,19.430458,12.567348,5121347
2000-05-05,19.509125,20.748112,19.391127,20.551447,13.292389,5380672
2000-05-08,20.472782,21.062775,19.489458,19.587791,12.669114,6002289
2000-05-09,19.627125,19.981119,19.371460,19.666456,12.719993,3826948
2000-05-10,19.804123,19.981119,18.565134,18.801132,12.160313,6842552
2000-05-11,19.391127,20.295784,19.312462,19.981119,12.923512,4171761
2000-05-12,20.020452,20.413782,19.784456,20.217117,13.076146,3846016
2000-05-15,19.981119,20.453115,19.981119,20.158117,13.037990,3619424
2000-05-16,20.413782,20.905443,20.236784,20.826778,13.470473,3461160
2000-05-17,20.689114,20.689114,20.335115,20.512115,13.307161,3440503
2000-05-18,20.433449,20.728445,20.256451,20.418699,13.246555,2936472
2000-05-19,19.981119,20.099119,19.391127,19.627125,12.733026,3433829
2000-05-22,19.823790,19.823790,19.391127,19.489458,12.643715,5487770
2000-05-23,19.646790,19.646790,19.017464,19.135464,12.414063,5133741
2000-05-24,19.469791,19.469791,18.565134,18.840466,12.222690,7510885
2000-05-25,18.840466,18.840466,18.388138,18.683134,12.120621,5905995
2000-05-26,18.919132,18.919132,18.368471,18.545469,12.031307,2667613
2000-05-30,18.466803,18.742132,18.171806,18.565134,12.044065,5636183
